1411210334	0.67	0.12000000000000455	0.0
1411210337	0.62	0.25	0.0
1411210340	0.62	6.75	0.0
1411210343	0.57	12.5	0.0
1411210346	0.57	100.0	0.0
1411210349	1.0	99.75	456.0
1411210352	1.56	99.75	0.0
1411210355	1.56	99.75	2129.0
1411210358	2.16	99.63	2159.0
1411210361	2.16	99.75	0.0
1411210364	2.63	99.5	8.0
1411210367	3.06	99.88	0.0
1411210370	3.06	99.5	0.0
1411210373	3.45	99.88	0.0
1411210376	3.45	99.62	0.0
1411210379	3.82	99.5	0.0
1411210382	4.15	99.75	0.0
1411210385	4.15	99.75	2211.0
1411210388	4.54	99.63	2164.0
1411210391	4.54	99.62	0.0
1411210394	4.82	99.62	1551.0
1411210397	5.15	99.5	1914.0
1411210400	5.15	99.62	1999.0
1411210403	5.46	99.75	0.0
1411210406	5.46	99.75	883.0
1411210409	5.66	99.75	2124.0
1411210412	5.93	99.75	1865.0
1411210415	5.93	99.75	10.0
1411210418	6.1	99.63	2269.0
1411210421	6.1	99.38	2355.0
1411210424	6.33	99.75	25.0
1411210427	6.46	99.75	0.0
1411210430	6.46	99.5	2253.0
1411210433	6.67	99.75	2238.0
1411210436	6.67	99.62	0.0
1411210439	6.77	99.62	55.0
1411210442	6.95	99.63	2303.0
1411210445	6.95	99.75	2221.0
1411210448	7.12	99.63	0.0
1411210451	7.12	99.62	1769.0
1411210454	7.19	99.62	2050.0
1411210457	7.33	99.5	867.0
1411210460	7.33	99.63	9.0
1411210463	7.38	99.88	2182.0
1411210466	7.38	99.75	2130.0
1411210469	7.51	99.63	1343.0
1411210472	7.55	99.75	0.0
1411210475	7.55	99.62	2351.0
1411210478	7.67	99.75	2113.0
1411210481	7.67	99.63	0.0
1411210484	7.78	99.63	0.0
1411210487	7.79	99.13	2184.0
1411210490	7.79	99.63	2257.0
1411210493	7.89	99.75	0.0
1411210496	7.89	99.5	327.0
1411210499	7.9	99.88	2090.0
1411210502	7.99	99.75	2070.0
1411210505	7.99	99.75	0.0
1411210508	7.99	99.62	58.0
1411210511	7.99	99.63	2019.0
1411210514	8.07	99.88	2167.0
1411210517	8.14	99.75	0.0
1411210520	8.14	99.5	1692.0
1411210523	8.13	99.63	2162.0
1411210526	8.2	99.62	385.0
1411210529	8.2	99.63	0.0
1411210532	8.19	99.38	2349.0
1411210535	8.19	99.63	2120.0
1411210538	8.25	99.62	0.0
1411210541	8.23	99.63	10.0
1411210544	8.23	99.75	2315.0
1411210547	8.29	99.38	2097.0
1411210550	8.29	99.5	85.0
1411210553	8.27	99.62	105.0
1411210556	8.33	99.62	2545.0
1411210559	8.33	99.87	2248.0
1411210562	8.38	99.75	142.0
1411210565	8.38	99.75	794.0
1411210568	8.35	99.75	2647.0
1411210571	8.4	99.5	2025.0
1411210574	8.4	99.62	500.0
1411210577	8.37	99.63	1551.0
1411210580	8.37	99.62	2465.0
1411210583	8.42	99.5	2108.0
1411210586	8.39	99.62	728.0
1411210589	8.39	98.5	2045.0
1411210592	8.36	94.38	2076.0
1411210595	8.36	94.38	0.0
1411210598	8.33	94.11	0.0
1411210601	8.38	93.75	2190.0
1411210604	8.38	95.12	1673.0
1411210607	8.43	93.38	22.0
1411210610	8.43	94.62	2110.0
1411210613	8.72	88.51	2010.0
1411210616	8.98	92.25	0.0
1411210619	8.98	93.75	207.0
1411210622	8.74	93.49	2150.0
1411210625	8.74	95.62	996.0
1411210628	8.84	93.62	0.0
1411210631	8.77	94.62	2101.0
1411210634	8.77	93.75	759.0
1411210637	8.79	93.15	35.0
1411210640	8.79	94.01	2217.0
1411210643	8.81	90.99	0.0
1411210646	8.9	94.38	0.0
1411210649	8.9	95.01	2122.0
1411210652	9.15	95.49	39.0
1411210655	9.15	94.12	0.0
1411210658	8.98	92.88	2097.0
1411210661	9.22	93.98	0.0
1411210664	9.22	93.12	0.0
1411210667	9.04	52.57	2044.0
1411210670	9.04	22.72	0.0
1411210673	8.4	12.980000000000004	0.0
1411210676	7.89	25.03	1926.0
1411210679	7.89	25.120000000000005	326.0
1411210682	7.34	12.519999999999996	34.0
1411210685	7.34	24.159999999999997	2020.0
1411210688	6.91	27.120000000000005	0.0
1411210691	6.43	12.75	0.0
1411210694	6.43	25.03	2324.0
1411210697	6.08	16.730000000000004	41.0
1411210700	6.08	12.64	0.0
1411210703	5.67	12.879999999999995	0.0
1411210706	5.3	12.620000000000005	97.0
1411210709	5.3	12.61	0.0
1411210712	4.95	12.620000000000005	0.0
1411210715	4.95	12.5	0.0
1411210718	4.64	12.620000000000005	0.0
1411210721	4.35	12.519999999999996	0.0
1411210724	4.35	12.519999999999996	0.0
1411210727	4.08	12.620000000000005	0.0
1411210730	4.08	12.879999999999995	0.0
1411210733	3.83	12.620000000000005	0.0
1411210736	3.61	12.64	1.0
1411210739	3.61	12.519999999999996	0.0
1411210742	3.4	12.61	0.0
1411210745	3.4	12.61	0.0
1411210748	3.2	12.519999999999996	0.0
1411210751	3.03	12.620000000000005	0.0
1411210754	3.03	12.519999999999996	0.0
1411210757	2.87	12.39	0.0
1411210760	2.87	12.730000000000004	0.0
1411210763	2.72	12.64	0.0
1411210766	2.58	12.620000000000005	0.0
1411210769	2.58	12.519999999999996	0.0
1411210772	2.45	12.620000000000005	0.0
1411210775	2.45	12.519999999999996	0.0
1411210778	2.34	12.519999999999996	0.0
1411210781	2.23	12.75	0.0
1411210784	2.23	12.64	0.0
1411210787	2.13	12.519999999999996	0.0
1411210790	2.13	12.620000000000005	0.0
1411210793	2.04	12.519999999999996	0.0
